cell,Ute_PCP1,Ute_PCP2,Ute_PCP3,Ute_PCP4,Co_PCP_100_Epit,Co_PCP_200_Epit,Co_PCP_2k_FACS_1,Co_PCP_2k_FACS_3,Co_P1_FA_GFP_0,Co_P1_FA_GFP_8,Ute_P1_Neg_0,Ute_P1_Neg_5,Ute_P1_GFP_3,Co_P1_FA_GFP_1,Co_P1_FA_GFP_9,Ute_P1_GFP_0,Ute_P1_tdTom_3,Ute_P1_tdTom_7,Ute_P1_GFP_4,Co_P1_FA_GFP_2,Ute_P1_tdTom_2,Ute_P1_Neg_2,Ute_P1_Neg_6,Ute_P1_tdTom_11,Co_P1_FA_GFP_3,Co_P1_FA_GFP_95,Ute_P1_tdTom_4,Ute_P1_Neg_7,Ute_P1_GFP_5,Co_P1_FA_GFP_4,Co_P1_FA_GFP_11,Ute_P1_tdTom_5,Ute_P1_tdTom_8,Ute_P1_tdTom_12,Co_P1_FA_GFP_5,Ute_P1_Neg_36,Ute_P1_GFP_1,Ute_P1_Neg_3,Ute_P1_tdTom_9,Ute_P1_Neg_8,Co_P1_FA_GFP_6,Ute_P1_tdTom_0,Ute_P1_Neg_1,Ute_P1_tdTom_6,Ute_P1_tdTom_10,Ute_P1_Neg_9,Co_P1_FA_GFP_7,Ute_P1_tdTom_1,Ute_P1_Neg_4,Ute_P1_GFP_2,Ute_P1_Neg_10,Ute_P1_GFP_6,Ute_P1_tdTom_14,Ute_P1_tdTom_15,Ute_P1_GFP_18,Ute_P1_Neg_11,Ute_P1_GFP_10,Ute_P1_GFP_13,Ute_P1_GFP_16,Ute_P1_Neg_14,Ute_P1_GFP_14,Ute_P1_GFP_17,Ute_P1_GFP_19,Ute_P1_Neg_12,Ute_P1_Neg_15,Ute_P1_Neg_17,Ute_P1_tdTom_16,Ute_P1_tdTom_13,Ute_P1_GFP_11,Ute_P1_Neg_18,Ute_P1_Neg_20,Ute_P1_tdTom_18,Ute_P1_Neg_13,Ute_P1_GFP_8,Ute_P1_Neg_21,Ute_P1_GFP_20,Ute_P1_GFP_7,Ute_P1_Neg_16,Ute_P1_GFP_12,Ute_P1_Neg_19,Ute_P1_tdTom_17,Ute_P1_GFP_9,Ute_P1_GFP_15,Ute_P1_GFP_21,Ute_P1_GFP_22,Ute_P1_Neg_24,Ute_P1_tdTom_26,Ute_P1_tdTom_33,Ute_P1_tdTom_40,Ute_P1_GFP_32,Ute_P1_GFP_23,Ute_P1_tdTom_22,Ute_P1_tdTom_27,Ute_P1_tdTom_34,Ute_P1_Neg_26,Ute_P1_tdTom_43,Ute_P1_GFP_24,Ute_P1_tdTom_23,Ute_P1_tdTom_28,Ute_P1_tdTom_35,Ute_P1_tdTom_41,Ute_P1_tdTom_44,Ute_P1_tdTom_19,Ute_P1_GFP_25,Ute_P1_tdTom_29,Ute_P1_GFP_28,Ute_P1_tdTom_42,Ute_P1_GFP_33,Ute_P1_Neg_22,Ute_P1_GFP_26,Ute_P1_tdTom_30,Ute_P1_tdTom_36,Ute_P1_Neg_27,Ute_P1_Neg_28,Ute_P1_Neg_23,Ute_P1_tdTom_24,Ute_P1_GFP_27,Ute_P1_tdTom_37,Ute_P1_GFP_29,Ute_P1_tdTom_45,Ute_P1_tdTom_20,Ute_P1_Neg_25,Ute_P1_tdTom_31,Ute_P1_tdTom_38,Ute_P1_GFP_30,Ute_P1_GFP_34,Ute_P1_tdTom_21,Ute_P1_tdTom_25,Ute_P1_tdTom_32,Ute_P1_tdTom_39,Ute_P1_GFP_31,Ute_P1_tdTom_46,Ute_P1_tdTom_47,Ute_P1_GFP_37,Ute_P1_GFP_41,Ute_P1_tdTom_57,Ute_P1_GFP_46,Ute_P1_tdTom_65,Ute_P1_GFP_35,Ute_P1_tdTom_52,Ute_P1_tdTom_54,Ute_P1_Neg_34,Ute_P1_tdTom_61,Ute_P1_tdTom_66,Ute_P1_tdTom_48,Ute_P1_Neg_30,Ute_P1_tdTom_55,Ute_P1_GFP_44,Ute_P1_tdTom_62,Ute_P1_GFP_50,Ute_P1_GFP_36,Ute_P1_GFP_38,Ute_P1_Neg_32,Ute_P1_tdTom_58,Ute_P1_GFP_47,Ute_P1_GFP_51,Ute_P1_tdTom_49,Ute_P1_tdTom_53,Ute_P1_tdTom_56,Ute_P1_Neg_35,Ute_P1_GFP_48,Ute_P1_tdTom_67,Ute_P1_tdTom_50,Ute_P1_GFP_39,Ute_P1_GFP_42,Ute_P1_tdTom_59,Ute_P1_tdTom_63,Ute_P1_GFP_52,Ute_P1_tdTom_51,Ute_P1_GFP_40,Ute_P1_Neg_33,Ute_P1_tdTom_60,Ute_P1_tdTom_64,Ute_P1_GFP_53,Ute_P1_Neg_29,Ute_P1_Neg_31,Ute_P1_GFP_43,Ute_P1_GFP_45,Ute_P1_GFP_49,Ute_P1_tdTom_68,Co_P1_Ep_Neg_3,Co_P1_Ep_GFP_6,Co_P1_Ep_GFP_14,Co_P1_Ep_GFP_0,Co_P1_Ep_tdTom_1,Co_P1_Ep_Neg_0,Co_P1_Ep_GFP_3,Co_P1_Ep_GFP_13,Co_P1_Ep_GFP_15,Co_P1_Ep_tdTom_0,Co_P1_Ep_Neg_4,Co_P1_Ep_GFP_7,Co_P1_Ep_GFP_1,Co_P1_Ep_Neg_5,Co_P1_Ep_GFP_11,Co_P1_Ep_GFP_16,Co_P1_Ep_Neg_1,Co_P1_Ep_Neg_8,Co_P1_Ep_Neg_15,Co_P1_Ep_Neg_18,Co_P1_Ep_GFP_2,Co_P1_Ep_Neg_6,Co_P1_Ep_GFP_9,Co_P1_Ep_Neg_16,Co_P1_Ep_Neg_19,Co_P1_Ep_GFP_5,Co_P1_Ep_GFP_10,Co_P1_Ep_tdTom_2,Co_P1_Ep_Neg_20,Co_P1_FA_GFP_46,Co_P1_FA_GFP_54,Co_P1_FA_GFP_62,Co_P1_FA_GFP_70,Co_P1_FA_GFP_78,Co_P1_FA_GFP_83,Co_P1_FA_GFP_47,Co_P1_FA_GFP_55,Co_P1_FA_GFP_63,Co_P1_FA_GFP_71,Co_P1_FA_GFP_79,Co_P1_FA_GFP_84,Co_P1_FA_GFP_48,Co_P1_FA_GFP_56,Co_P1_FA_GFP_64,Co_P1_FA_GFP_72,Co_P1_FA_GFP_85,Co_P1_FA_GFP_49,Co_P1_FA_GFP_57,Co_P1_FA_GFP_65,Co_P1_FA_GFP_73,Co_P1_FA_GFP_86,Co_P1_FA_GFP_50,Co_P1_FA_GFP_58,Co_P1_FA_GFP_66,Co_P1_FA_GFP_74,Co_P1_FA_GFP_87,Co_P1_FA_GFP_51,Co_P1_FA_GFP_59,Co_P1_FA_GFP_67,Co_P1_FA_GFP_75,Co_P1_FA_GFP_80,Co_P1_FA_GFP_88,Co_P1_FA_GFP_52,Co_P1_FA_GFP_60,Co_P1_FA_GFP_68,Co_P1_FA_GFP_76,Co_P1_FA_GFP_81,Co_P1_FA_GFP_89,Co_P1_FA_GFP_53,Co_P1_FA_GFP_61,Co_P1_FA_GFP_69,Co_P1_FA_GFP_77,Co_P1_FA_GFP_82,Co_P1_FA_GFP_90,Co_P1_FA_GFP_91,Co_P1_FA_GFP_92,Co_P1_FA_GFP_93,Co_P1_FA_HC_94,Co_P1_Ep_Neg_21,Co_P1_Ep_Neg_26,Co_P1_Ep_Neg_31,Co_P1_Ep_GFP_25,Co_P1_Ep_Neg_41,Co_P1_Ep_Neg_45,Co_P1_Ep_GFP_18,Co_P1_Ep_Neg_27,Co_P1_Ep_GFP_23,Co_P1_Ep_Neg_36,Co_P1_Ep_Neg_42,Co_P1_Ep_GFP_32,Co_P1_Ep_tdTom_3,Co_P1_Ep_Neg_28,Co_P1_Ep_Neg_32,Co_P1_Ep_GFP_26,Co_P1_Ep_GFP_28,Co_P1_Ep_Neg_46,Co_P1_Ep_Neg_22,Co_P1_Ep_GFP_20,Co_P1_Ep_GFP_24,Co_P1_Ep_Neg_37,Co_P1_Ep_GFP_29,Co_P1_Ep_tdTom_5,Co_P1_Ep_Neg_23,Co_P1_Ep_GFP_21,Co_P1_Ep_tdTom_4,Co_P1_Ep_Neg_38,Co_P1_Ep_Neg_43,Co_P1_Ep_Neg_47,Co_P1_Ep_GFP_19,Co_P1_Ep_Neg_29,Co_P1_Ep_Neg_39,Co_P1_Ep_Neg_44,Co_P1_Ep_Neg_48,Co_P1_Ep_Neg_24,Co_P1_Ep_Neg_30,Co_P1_Ep_Neg_34,Co_P1_Ep_GFP_27,Co_P1_Ep_GFP_30,Co_P1_Ep_GFP_33,Co_P1_Ep_Neg_25,Co_P1_Ep_GFP_22,Co_P1_Ep_Neg_35,Co_P1_Ep_Neg_40,Co_P1_Ep_GFP_31,Co_P1_Ep_GFP_34,Co_P1_Ep_GFP_35,Co_P1_Ep_Neg_53,Co_P1_Ep_GFP_36,Co_P1_Ep_tdTom_7,Co_P1_Ep_tdTom_6,Co_P1_Ep_GFP_38,Co_P1_Ep_GFP_37,Co_P1_Ep_tdTom_8,Co_P1_Ep_Neg_49,Co_P1_Ep_tdTom_9,Co_P1_Ep_Neg_50,Co_P1_Ep_GFP_39,Co_P1_Ep_Neg_51,Co_P1_Ep_Neg_54,Co_P1_Ep_Neg_52,Co_P1_Ep_GFP_40
Ute_P1_Neg_0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_Neg_5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_GFP_3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.89066637861112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850064269603793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894076237897605,0,0,0,0,0,0,0,0,0.86361572503576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861011121716063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872378356350921,0,0,0,0,0,0,0,0,0,0.897856729248398,0,0,0,0,0,0,0,0.865289736094444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826205033994713,0,0,0,0,0.881273695115303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co_P1_FA_GFP_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co_P1_FA_GFP_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_GFP_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_tdTom_3,0,0,0.802532707434149,0.809549408653905,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_tdTom_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_GFP_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co_P1_FA_GFP_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_tdTom_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_Neg_2,0,0,0.821711974243718,0.800244586100125,0,0,0,0,0,0,0,0,0.89066637861112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921041895689366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984374172070962,0,0,0,0,0.845754574629766,0,0,0,0.929812750696197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928943589232992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80732632439258,0,0,0,0,0,0,0.952608797667592,0,0.827202458329106,0,0,0,0,0,0,0,0.986503252318925,0,0,0,0.859476038818968,0,0,0.860985176486985,0.934944591161322,0,0,0,0,0,0.826447464674908,0,0,0,0,0,0,0,0,0.892727616384188,0,0,0.830540215515731,0,0.948004252001045,0,0,0,0,0,0,0,0.847887996840855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute_P1_Neg_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
